user_parameters.duration_add_tnf	user_parameters.concentration_tnf	user_parameters.time_add_tnf
5.5776221269867	0.1397830258994781	422.91021303113234
7.3771147321959605	0.4218640269750023	525.8817410157275
9.234087393408323	0.18434654151843474	429.67799208648194
9.390628844631822	0.21272309972820805	475.1105511714639
10.00482187408153	0.15463557101808634	441.8998048102084
11.478217878354664	0.18510857501161207	429.44515584470906
13.502964792375034	0.14437962751328784	429.8600171898467
14.0	0.060135662188320595	409.0
15.281148900376785	0.09857513981152144	435.4418044728806
15.546731948176676	0.1060970241994575	386.1203479934732
16.577493039012428	0.2136720839577301	440.31626535987215
16.897577257654806	0.18093987989874946	424.61748623750776
19.429624256932858	0.21873154995156407	408.8719762417465
29.0	0.02810153750605708	225.0
30.0	0.02810153750605708	409.0
30.0	0.060135662188320595	409.0
33.0	0.02810153750605708	225.0
33.0	0.048687560108581475	409.0
33.0	0.060135662188320595	409.0
35.0	0.02810153750605708	245.0
39.0	0.02810153750605708	225.0
41.0	0.02810153750605708	225.0
41.0	0.02810153750605708	409.0
41.0	0.048687560108581475	409.0
45.0	0.048687560108581475	409.0
59.0	0.02810153750605708	225.0
59.0	0.02810153750605708	409.0
59.0	0.02810153750605708	501.0
59.0	0.048687560108581475	409.0
73.0	0.02810153750605708	409.0
