	time_add_tnf	duration_add_tnf	concentration_tnf
0	225.0	29.0	0.02810153750605708
1	225.0	33.0	0.02810153750605708
2	225.0	39.0	0.02810153750605708
3	225.0	41.0	0.02810153750605708
4	225.0	59.0	0.02810153750605708
5	245.0	35.0	0.02810153750605708
6	386.1203479934732	15.546731948176676	0.1060970241994575
7	408.8719762417465	19.429624256932858	0.21873154995156407
8	409.0	14.0	0.060135662188320595
9	409.0	30.0	0.02810153750605708
10	409.0	30.0	0.060135662188320595
11	409.0	33.0	0.048687560108581475
12	409.0	33.0	0.060135662188320595
13	409.0	41.0	0.02810153750605708
14	409.0	41.0	0.048687560108581475
15	409.0	45.0	0.048687560108581475
16	409.0	59.0	0.02810153750605708
17	409.0	59.0	0.048687560108581475
18	409.0	73.0	0.02810153750605708
19	422.91021303113234	5.5776221269867	0.1397830258994781
20	424.61748623750776	16.897577257654806	0.18093987989874946
21	429.44515584470906	11.478217878354664	0.18510857501161207
22	429.67799208648194	9.234087393408323	0.18434654151843474
23	429.8600171898467	13.502964792375034	0.14437962751328784
24	435.4418044728806	15.281148900376785	0.09857513981152144
25	440.31626535987215	16.577493039012428	0.2136720839577301
26	441.8998048102084	10.00482187408153	0.15463557101808634
27	475.1105511714639	9.390628844631822	0.21272309972820805
28	501.0	59.0	0.02810153750605708
29	525.8817410157275	7.3771147321959605	0.4218640269750023
